"site","timestamp","title","entities","keywords","summary","url","comments"
"digisport","2025-09-10T06:40:00+00:00","La cinci zile după ce a spus ”Messi a vrut să mă omoare”, i-a luat și numărul 10","Argentina, Venezuela, Cupa Mondială, Leo Messi, Franco Mastantuono, Tânărul de 18 ani, Real Madrid, River Plate","partida, argentina, venezuela, calificările, mondială, probabil, ultima, jucată, messi, teren","În partida Argentina – Venezuela din calificările pentru Cupa Mondială 2026, scor 3-0, probabil ultima jucată de Leo Messi pe teren propriu, legendarul fotbalist s-a supărat la un moment dat pe Franco Mastantuono. Motivul? Tânărul de 18 ani cumpărat de Real Madrid de la River Plate în această vară pentru 45 de milioane de euro […]","https://www.digisport.ro/fotbal/la-cinci-zile-dupa-ce-a-spus-messi-a-vrut-sa-ma-omoare-i-a-luat-si-numarul-10-3798889","0"
"digisport","2025-09-10T07:35:00+00:00","Dorinel Munteanu a văzut transferul verii din SuperLigă și a avut o reacție categorică","CFR Cluj, României, Kourt Zouma, UEFA Champions","realizat, răsunător, transfer, verii, superliga, româniei, prezentat, kourt, zouma, fostul","CFR Cluj a realizat cel mai răsunător transfer al verii în SuperLiga României, după ce l-a prezentat pe Kourt Zouma (30 de ani), fostul fundaș central al lui Chelsea, care a câștigat UEFA Champions League 2020/2021. Pentru formația londoneză a adunat 151 de meciuri (10 goluri, patru pase decisive). Mutarea spectaculoasă a celui care a […]","https://www.digisport.ro/fotbal/liga-1/dorinel-munteanu-a-vazut-transferul-verii-din-superliga-si-a-avut-o-reactie-categorica-3798979","0"
"digisport","2025-09-10T06:48:00+00:00","FIFA a reacționat pe site-ul oficial, după ce România a pierdut victoria de la 2-0 în Cipru","Cipru, România, Cupa Mondială, Drăguș, Loizou, Charalampous","meciul, cipru, românia, preliminariile, mondială, impresionant, ciprioți, dezamăgitor, români, naționala","Meciul Cipru – România, scor 2-2, din preliminariile pentru Cupa Mondială 2026, a fost pe cât de impresionant pentru ciprioți, pe atât de dezamăgitor pentru români.  Naționala noastră a început fulgerător, cu o dublă semnată de Drăguș în minutele 2 și 18, dar apoi gazdele au reintrat în joc în minutul 29, prin Loizou, ca Charalampous […]","https://www.digisport.ro/fotbal/cm-2026/fifa-a-reactionat-pe-site-ul-oficial-dupa-ce-romania-a-pierdut-victoria-de-la-2-0-in-cipru-3798887","0"
"digisport","2025-09-10T05:28:00+00:00","Cum ne-au numit ciprioții, după ce România a avut 2-0 în deplasare și nu a reușit să câștige","Cipru, România, Grupa H a preliminariilor, Cupa Mondială, Drăguș, ciprioții","meciul, cipru, românia, grupa, preliminariilor, mondială, lăsat, drăguș, deschis, scorul","Meciul Cipru – România, scor 2-2, din Grupa H a preliminariilor pentru Cupa Mondială 2026, ne-a lăsat cu un gust amar.  După ce Drăguș a deschis scorul la doar două minute de la fluierul de start și a reușit dubla un sfert de oră mai târziu, ciprioții au reintrat în joc în minutul 29, printr-un […]","https://www.digisport.ro/fotbal/echipa-nationala/cum-ne-au-numit-cipriotii-dupa-ce-romania-a-avut-2-0-in-deplasare-si-nu-a-reusit-sa-castige-3798693","0"
"digisport","2025-09-10T05:14:00+00:00","”Dacă au demnitate și onoare, toți demisia, acum”! Fostul internațional a răbufnit, după Cipru - România 2-2","România, Cipru, Loizou, Charalampous, Florin Prunea","florin, prunea, românia, remizat, cipru, condus, preliminariile, drăguș, rapid, scorul","România a remizat în Cipru, scor 2-2, după ce a condus cu 2-0, într-un meci din preliminariile CM 2026. Drăguș (2, 18) a dus rapid scorul la 2-0 în favoarea ”Tricolorilor”, însă Loizou (29) a redus din diferență până la pauză, iar Charalampous (76) a stabilit rezultatul final. Florin Prunea: ” Florin Prunea (57 de ani), fost internațional român, […]","https://www.digisport.ro/fotbal/echipa-nationala/daca-au-demnitate-si-onoare-toti-demisia-acum-fostul-international-a-rabufnit-dupa-cipru-romania-2-2-3798687","0"
"digisport","2025-09-10T06:11:00+00:00","Maghiarii, fără dubii după ce România n-a putut să o bată pe Cipru: ”E clar!”","România, Cipru, Cupei Mondiale, Croația, ciprioții","românia, obținut, remiză, cipru, preliminariile, cupei, mondiale, competiție, naționala, calificat","România a obținut doar o remiză cu Cipru, scor 2-2, într-un meci din preliminariile Cupei Mondiale din 2026, competiție unde naționala nu s-a mai calificat din 1998 (eliminată în optimi de Croația, 0-1). Deși Drăguș marcase o dublă în primele 20 de minute, ciprioții au egalat situația până la final, iar ”Tricolorii” au rămas cu […]","https://www.digisport.ro/fotbal/echipa-nationala/maghiarii-fara-dubii-dupa-ce-romania-n-a-putut-sa-o-bata-pe-cipru-e-clar-3798763","0"
"digisport","2025-09-10T07:40:00+00:00","Selecționerul Austriei, reacție categorică după ce a văzut rezultatul dintre Cipru și România","România, Cipru, Loizou, Charalampous, Ralf Rangnick","cipru, românia, remizat, condus, preliminariile, drăguș, rapid, scorul, favoarea, tricolorilor","România a remizat în Cipru, scor 2-2, după ce a condus cu 2-0, într-un meci din preliminariile CM 2026. Drăguș (2, 18) a dus rapid scorul la 2-0 în favoarea ”Tricolorilor”, însă Loizou (29) a redus din diferență până la pauză, iar Charalampous (76) a stabilit rezultatul final. Ralf Rangnick: ”Mulți spun că Cipru nu este o echipă serioasă, […]","https://www.digisport.ro/fotbal/echipa-nationala/selectionerul-austriei-reactie-categorica-dupa-ce-a-vazut-rezultatul-dintre-cipru-si-romania-3798971","0"
"digisport","2025-09-10T04:50:00+00:00","""Eu am făcut tot ce a fost posibil!"" Anunțul lui Mircea Lucescu, în miez de noapte","România, Cipru","românia, remizat, cipru, condus, preliminariile","România a remizat în Cipru, scor 2-2, după ce a condus cu 2-0, într-un meci din preliminariile CM 2026.","https://www.digisport.ro/fotbal/echipa-nationala/eu-am-facut-tot-ce-a-fost-posibil-anuntul-facut-de-mircea-lucescu-in-miez-de-noapte-3798649","0"
"digisport","2025-09-10T05:53:00+00:00","Charalampos Charalampous, după ce a marcat pentru 2-2 în Cipru - România: ""Suntem triști!""","Cipru, România, Cupa Mondială","cipru, obținut, remiză, românia, preliminariile, mondială, condusă, goluri","Cipru a obținut o remiză cu România, scor 2-2, în preliminariile pentru Cupa Mondială 2026, după ce a fost condusă cu două goluri. ","https://www.digisport.ro/fotbal/echipa-nationala/charalampos-charalampous-dupa-ce-a-marcat-pentru-2-2-in-cipru-romania-suntem-tristi-3798765","0"
"digisport","2025-09-10T07:03:00+00:00","Neverosimil: înlocuitorul lui Ianis Hagi a intrat pe teren în minutul 64 și nimeni nu se aștepta la ce a urmat","Thelo Aasgaard, Luton, Scoția, Ianis Hagi","thelo, aasgaard, transferat, rangers, luton, schimbul, sumei, milioane, poziția, evoluează","Thelo Aasgaard (23 de ani) a fost transferat în această vară de Rangers de la Luton în schimbul sumei de 4 milioane de euro, iar poziția pe care evoluează norvegianul este fix cea de mijlocaș ofensiv, ocupată în trecut în Scoția de către Ianis Hagi.","https://www.digisport.ro/fotbal/neverosimil-inlocuitorul-lui-ianis-hagi-a-intrat-pe-teren-in-minutul-64-si-nimeni-nu-se-astepta-la-ce-a-urmat-3798943","0"
"digisport","2025-09-10T06:24:00+00:00","""Dezastru"" în preliminarii: au pierdut cu 3-6 acasă și sunt OUT de la Cupa Mondială!","Cupa Mondială, Ecuador – Argentina 1-0, Bolivia, Brazilia, Peru – Paraguay 0-1, Venezuela, Columbia","miercuri, dimineață, disputat, ultimele, cinci, meciuri, preliminariile, americane, mondială, rezultatele","Miercuri dimineață s-au disputat ultimele cinci meciuri din preliminariile sud-americane pentru Cupa Mondială 2026.  Rezultatele au fost: Ecuador – Argentina 1-0, Bolivia – Brazilia 1-0, Chile – Uruguay 0-0, Peru – Paraguay 0-1 și Venezuela – Columbia 3-6. Cele șase echipe care merg direct la turneul final erau deja cunoscute, iar în ultima etapă s-a […]","https://www.digisport.ro/fotbal/cm-2026/dezastru-in-preliminarii-au-pierdut-cu-3-6-acasa-si-sunt-out-de-la-cupa-mondiala-3798823","0"
"digisport","2025-09-10T07:26:00+00:00","Toni Kroos nu s-a ferit de cuvinte, după ultimele rezultate înregistrate de naționala Germaniei: ""Ani lumină""","Germaniei, Cupa Mondială, Bratislava, Slovacia, Irlandei de Nord","partide, echipa, națională, germaniei, atras, critici, ultimele, jucate, cadrul, preliminariilor","Echipa națională a Germaniei a atras un val de critici după ultimele două partide jucate, din cadrul preliminariilor pentru Cupa Mondială din 2026. “Die Manschaft” a pierdut surprizător la Bratislava, scor 0-2 cu Slovacia, iar în meciul contra Irlandei de Nord s-au impus cu greu, 3-1, partidă în care scorul pauzei era 1-1. Ambele partide […]","https://www.digisport.ro/fotbal/cm-2026/toni-kroos-nu-s-a-ferit-de-cuvinte-dupa-ultimele-rezultate-inregistrate-de-nationala-germaniei-ani-lumina-3797517","0"
