"site","timestamp","title","entities","keywords","summary","url","comments"
"fanatik","2025-09-10T07:48:17.410742+00:00","Cine este, de fapt, Claudiu Crețu, directorul ELCEN, vizat într-un dosar de corupție la DNA. Averea teologului-polițist","Claudiu Crețu, directorul, ELCEN, DNA","claudiu, crețu, directorul, elcen, vizat, dosar, corupție, deschis, procurorii, traiectorie","Cine este, de fapt, Claudiu Crețu, directorul ELCEN vizat într-un dosar de corupție deschis de procurorii DNA? Are o traiectorie tare interesantă!","https://www.fanatik.ro/cine-este-de-fapt-claudiu-cretu-directorul-elcen-vizat-intr-un-dosar-de-coruptie-la-dna-averea-teologului-politist-21272066","0"
"fanatik","2025-09-10T07:48:34.676951+00:00","Cât costă rochia roz îmbrăcată de Aryna Sabalenka, după câștigarea US Open 2025. Sportiva nu a cheltuit mulți bani","Aryna Sabalenka, ea","rochia, purtată, aryna, sabalenka, trofeul, jucătoarea","Ce preț are rochia roz purtată de Aryna Sabalenka, după ce a luat trofeul US Open 2025. Jucătoarea nu a dat mult pe ea.","https://www.fanatik.ro/cat-costa-rochia-roz-imbracata-de-aryna-sabalenka-dupa-castigarea-us-open-2025-sportiva-nu-a-cheltuit-multi-bani-21271943","0"
"fanatik","2025-09-10T07:47:46.482830+00:00","Transferuri SuperLiga 2025, mercato vară. Două plecări dintr-un foc la Dinamo!","Vezi cine, FCSB, Dinamo, Rapid, U Craiova, CFR, U Cluj","fanatik, prezintă, principalele, transferuri, superliga, pleacă, dinamo, rapid, craiova","Fanatik prezintă principalele transferuri în SuperLiga, în vara 2025. Vezi cine pleacă și cine vine la FCSB, Dinamo, Rapid, U Craiova, CFR și U Cluj.","https://www.fanatik.ro/transferuri-superliga-vara-2025-fcsb-cfr-cluj-u-craiova-dinamo-rapid-21149665","0"
"fanatik","2025-09-10T07:47:59.887063+00:00","Premieră după 153 de ani! Primul musulman de la naționala Angliei împarte vestiarul cu Radu Drăgușin","Djed Spence, Albionului","spence, debutat, reprezentativa, albionului, devenit, primul, fotbalist, musulman, îmbrăcat, tricoul","Djed Spence a debutat la reprezentativa Albionului și a devenit primul fotbalist musulman care a îmbrăcat tricoul vice-campioanei continentale","https://www.fanatik.ro/dupa-153-de-ani-primul-musulman-de-la-nationala-angliei-imparte-vestiarul-cu-radu-dragusin-premiera-la-vice-campioana-europei-21272479","0"
"fanatik","2025-09-10T07:48:09.283747+00:00","Denis Drăguş, dezamăgit după Cipru – România 2-2: „Nu era cazul să cădem!”","Denis Drăguş, Cipru, România","denis, drăguş, marcat, dublă, cipru, românia, reuşit, câştige, final, atacantul","Denis Drăguş a marcat o ""dublă"" cu Cipru, dar România nu a reuşit să câştige de la 2-0. La final, atacantul a fost dezamăgit de prestaţia echipei după startul excelent.","https://www.fanatik.ro/denis-dragus-dezamagit-dupa-cipru-romania-2-2-nu-era-cazul-sa-cadem-21272414","0"
"fanatik","2025-09-10T07:48:20.190945+00:00","Mircea Lucescu dă vina pe arbitraj după Cipru – România 2-2: „Nu ne-a lăsat”","Mircea Lucescu, Cipru, România, ei","mircea, lucescu, prima, reacție, cipru, românia, preliminariile, mondial, totul, plâng","Mircea Lucescu, prima reacție după Cipru - România 2-2, în preliminariile pentru Mondial: „Totul a fost pentru ei, nu mă plâng, dar asta a fost”","https://www.fanatik.ro/mircea-lucescu-da-vina-pe-arbitraj-dupa-cipru-romania-2-2-nu-ne-a-lasat-21272399","0"
"fanatik","2025-09-10T07:47:43.627255+00:00","Constantin Budescu l-a convins pe fotbalistul de națională să vină în Liga 2! Transfer spectaculos pentru Tunari. Exclusiv","Tunari, FANATIK, Ricardo Grigore, Constantin Budescu","tunari, făcut, transfer, spectaculos, fanatik, aflat, ricardo, grigore, semna, echipa","Tunari a făcut un transfer spectaculos. FANATIK a aflat că Ricardo Grigore va semna cu echipa de liga secundă, un cuvânt greu de spus în această mutare avându-l Constantin Budescu.","https://www.fanatik.ro/constantin-budescu-l-a-convins-pe-fotbalistul-de-nationala-sa-vina-in-liga-2-transfer-spectaculos-pentru-tunari-exclusiv-21272350","0"
"fanatik","2025-09-10T07:48:14.648867+00:00","(P) Ofertă bogată de sloturi și jackpoturi la Napoleon Games, cel mai nou casino online din România","România","ofertă, legendară, dispoziția, tuturor, jucătorilor, românia, place, explorezi, portofoliile, casinourilor","O ofertă legendară stă la dispoziția tuturor jucătorilor din România! Îți place să explorezi portofoliile casinourilor online? În acest caz, trebuie să","https://www.fanatik.ro/p-oferta-bogata-de-sloturi-si-jackpoturi-la-napoleon-games-cel-mai-nou-casino-online-din-romania-21270473","0"
"fanatik","2025-09-10T07:48:21.983654+00:00","Cinci minute a rezistat Adrian Șut în Cipru – România! Dezastru pentru echipa națională și FCSB","Adrian Șut, Cipru, România, Cupa Mondială, FCSB","adrian, ghinionistul, serii, meciul, cipru, românia, preliminariile, mondială, întâmplat, fotbalistul","Adrian Șut a fost ghinionistul serii în meciul Cipru - România din preliminariile pentru Cupa Mondială! Ce s-a întâmplat cu fotbalistul de la FCSB","https://www.fanatik.ro/trei-minute-a-rezistat-adrian-sut-in-cipru-romania-dezastru-pentru-echipa-nationala-si-fcsb-21272362","0"
"fanatik","2025-09-10T07:48:01.866985+00:00","Cât costă, de fapt, iPhone 17 Air. Prețurile oficiale și cât trebuie să plătești în România pentru noul model Apple","Air, România, plătești, SUA, Europa","iphone, surprinzător, costă, românia, plătești, comanzi, direct, europa, detalii, complete","iPhone 17 Air vine cu un preț surprinzător! Află cât costă în România și cât plătești dacă îl comanzi direct din SUA sau Europa. Detalii complete aici.","https://www.fanatik.ro/cat-costa-de-fapt-iphone-17-air-preturile-oficiale-si-cat-trebuie-sa-platesti-in-romania-pentru-noul-model-apple-21272227","0"
"fanatik","2025-09-10T07:47:38.455175+00:00","Cifrele nu mint! Cum arată raportul Wyscout după Cipru – România 2-2 și cine sunt jucătorii care au dezamăgit. Naționala lui Mircea Lucescu merita să piardă la Nicosia!","Nicosia, României, Cipru","dezastrul, nicosia, explicat, cifre, jocul, naționalei, româniei, jucătorii, dezamăgit, partida","Dezastrul de la Nicosia, explicat în cifre. Ce nu a mers în jocul naționalei României. Cine au fost jucătorii care au dezamăgit în partida cu Cipru, conform Wyscout.","https://www.fanatik.ro/cifrele-nu-mint-cum-arata-raportul-wyscout-dupa-cipru-romania-2-2-nationala-lui-mircea-lucescu-merita-sa-piarda-la-nicosia-21272526","0"
"fanatik","2025-09-10T07:48:12.949492+00:00","(P) Ploaie de Câștiguri la Don.ro: 50.000 RON te așteaptă!","Don Giovanni","competiția, acerbă, pregătește, umbrela, prognoza, meteo, arată, ploaie, câștiguri, între","Competiția e acerbă la Don.ro. Pregătește-ți umbrela, prognoza meteo arată Ploaie de Câștiguri între 8 și 14 septembrie! Don Giovanni dă startul turneului","https://www.fanatik.ro/p-ploaie-de-castiguri-la-don-ro-50-000-ron-te-asteapta-21271567","0"
"fanatik","2025-09-10T07:48:26.486950+00:00","Câți copii are, de fapt, Dan Alexa. Antrenorul lui Poli Timișoara participă la Asia Express alături de Gabi Tamaș","Dan Alexa, Gabi Tamaș, Asia Express","alexa, tamaș, concurează, express, arată, viața, antrenorului, întâmplat, ultimii","Dan Alexa și Gabi Tamaș concurează la Asia Express. Cum arată însă viața antrenorului și ce s-a întâmplat în ultimii ani?","https://www.fanatik.ro/cati-copii-are-de-fapt-dan-alexa-antrenorul-lui-poli-timisoara-participa-la-asia-express-alaturi-de-gabi-tamas-21272123","0"
"fanatik","2025-09-10T07:48:03.817519+00:00","Piața neagră a jocurilor de noroc, adevăratul câștigător al populismului fiscal din România și UE! 81 de milioane de europeni sunt expuși","","dintr, raport, publicat, recent, reiese, adevăr, îngrijorător, conținutul, gambling, accesat","Dintr-un raport publicat recent reiese un adevăr îngrijorător: 92% din conținutul de gambling accesat online în UE a venit din surse neautorizate. 81 de milioane de europeni, expuși serviciilor ilegale.","https://www.fanatik.ro/piata-neagra-a-jocurilor-de-noroc-adevaratul-castigator-al-populismului-fiscal-din-romania-si-ue-81-de-milioane-de-europeni-sunt-expusi-21271429","0"
"fanatik","2025-09-10T07:47:54.443930+00:00","Informații cutremurătoare în cazul profesoarei găsite moartă lângă trupul băiețelului ei. Cum a fost posibilă, de fapt, tragedia: ”N-a lăsat niciun bilet, nimic”","Drobeta Turnu Severin, băiețelul ei de 7 ani","informații, cazul, tragediei, drobeta, turnu, severin, femeie, băiețelul, găsiți, suflare","Apar noi informații în cazul tragediei de la Drobeta Turnu Severin, unde o femeie și băiețelul ei de 7 ani au fost găsiți fără suflare. Autoritățile investighează circumstanțele.","https://www.fanatik.ro/informatii-cutremuratoare-in-cazul-profesoarei-gasite-moarta-langa-trupul-baietelului-ei-cum-a-fost-posibila-de-fapt-tragedia-n-a-lasat-niciun-bilet-nimic-21272113","0"
"fanatik","2025-09-10T07:47:53.142948+00:00","Trei zodii trec printr-o schimbare de destin de pe 10 septembrie de la ora 10.00. Noroc, prosperitate și oportunități pentru ele în această toamnă","","aceste, zodii, parte, schimbare, destin, începând, septembrie, norocul, poate, surâde","Aceste zodii vor avea parte de o schimbare de destin începând cu data de 10 septembrie. Norocul le poate surâde pe mai multe planuri.","https://www.fanatik.ro/trei-zodii-trec-printr-o-schimbare-de-destin-de-pe-10-septembrie-de-la-ora-10-00-noroc-prosperitate-si-oportunitati-pentru-ele-in-aceasta-toamna-21271819","0"
"fanatik","2025-09-10T07:47:51.873659+00:00","Cum a produs fiul lui Călin Georgescu un milion de lei în anul în care tatăl său a fost la un pas să ajungă președinte. Afacerea din Herăstrău","Călin Georgescu, Cosmin Georgescu","georgescu, călin, afectat, măsurile, fiscal, bugetare, luate, guvernul, bolojan, cosmin","Fiul lui Călin Georgescu nu va fi prea afectat de măsurile fiscal-bugetare luate de guvernul Bolojan. Cosmin Georgescu vine după un an foarte bun din punct de vedere financiar.","https://www.fanatik.ro/cum-a-produs-fiul-lui-calin-georgescu-un-milion-de-lei-in-anul-in-care-tatal-sau-a-fost-la-un-pas-sa-ajunga-presedinte-afacerea-din-herastrau-21271964","0"
"fanatik","2025-09-10T07:48:04.718881+00:00","David Popovici intră în bazin cu amatorii. Șansă uriașă pentru înotătorii care vor să concureze cu dublul campion mondial","României, Otopeni, amatori","sportiv, româniei, organizează, competiție, inedită, ianuarie, otopeni, înota, alături, amatori","Cel mai bun sportiv al României organizează o competiție inedită, care va avea loc în ianuarie 2026, la Otopeni, și în care va înota alături de amatori","https://www.fanatik.ro/david-popovici-intra-in-bazin-cu-amatorii-sansa-uriasa-pentru-inotatorii-care-vor-sa-concureze-cu-dublu-campion-mondial-21272475","0"
"fanatik","2025-09-10T07:48:19.143232+00:00","Nicolae Stanciu, discurs trist după Cipru – România 2-2: „E aproape ultima șansă de a ajunge la Campionatul Mondial”","României, Cipru, Nicolae Stanciu","naționala, româniei, remiză, meciul, cipru, nicolae, stanciu, recunoscut, șansele, calificare","Naționala României a scos doar o remiză în meciul din Cipru, scor 2-2, iar Nicolae Stanciu a recunoscut că șansele de calificare s-au diminuat considerabil.","https://www.fanatik.ro/nicolae-stanciu-discurs-trist-dupa-cipru-romania-2-2-e-aproape-ultima-sansa-de-a-ajunge-la-campionatul-mondial-21272441","0"
"fanatik","2025-09-10T07:48:35.719849+00:00","Fanatik SuperLiga, miercuri, 10 septembrie, ora 10:30. Horia Ivanovici, ediție specială cu invitați de top după Cipru – România","Fanatik SuperLiga, Horia Ivanovici, Cipru, România","fanatik, superliga, pregătit, ediție, spectaculoasă, miercuri, septembrie, horia, ivanovici, alături","Fanatik SuperLiga a pregătit o ediție spectaculoasă, miercuri, 10 septembrie, ora 10:30. Horia Ivanovici va avea alături invitați de marcă după Cipru - România.","https://www.fanatik.ro/fanatik-superliga-miercuri-10-septembrie-ora-1030-horia-ivanovici-editie-speciala-cu-invitati-de-top-dupa-cipru-romania-21272163","0"
"fanatik","2025-09-10T07:48:24.710609+00:00","Alex Musi, un car de nervi la San Marino U21 – România U21. Cum a reacționat căpitanul ”tricolorilor” când a fost schimbat","San Marino, România, Alex Musi","schimbat, minutul, meciului, dintre, marino, românia, părăsit, terenul, extrem, nervos","Schimbat în minutul 60 al meciului dintre San Marino U21 și România U21, Alex Musi a părăsit terenul extrem de nervos și gesticulând către banca tehnică.","https://www.fanatik.ro/alex-musi-un-car-de-nervi-la-san-marino-u21-romania-u21-cum-a-reactionat-capitanul-tricolorilor-cand-a-fost-schimbat-21272348","0"
