"site","timestamp","title","entities","keywords","summary","url","comments"
"gsp","2025-09-10T07:46:26.258819+00:00","S-a produs minunea în Superliga! Nu s-a mai întâmplat vreodată de la introducerea sistemului cu play-off și play-out","actualului, Dan Petrescu, CFR Cluj, Conference League, Hacken, Suedia","primele, etape, actualului, sezon, superligă, singur, antrenor, încheiat, mandatul, petrescu","În primele opt etape ale actualului sezon de Superligă, doar un singur antrenor și-a încheiat mandatul: Dan Petrescu, la CFR Cluj, după înfrângerea istorică din play-off-ul Conference League, 2-7 cu Hacken în Suedia.","https://www.gsp.ro/fotbal/liga-1/minune-in-superliga-ce-nu-s-a-intamplat-niciodata-in-ultimii-10-ani-840330.html","0"
"gsp","2025-09-10T07:45:49.121353+00:00","După ce a ratat transferul la Rapid, Alin Fică se pregătește să semneze: „Acord verbal”","Cristian Balaj, președintele, CFR Cluj, Alin Fică, Gruia, Rapid, mercato","cristian, balaj, președintele, transmis, semna, prelungirea, echipa, gruia, transferul, rapid","Cristian Balaj, președintele lui CFR Cluj, a transmis că Alin Fică va semna prelungirea cu echipa din Gruia, după ce transferul la Rapid a picat în finalul perioadei de mercato.","https://www.gsp.ro/fotbal/liga-1/cfr-cluj-cristi-balaj-alin-fica-prelungire-840472.html","0"
"gsp","2025-09-10T07:46:09.145735+00:00","Primul meci de acasă al Barcelonei, pe un stadion de 6.000 de locuri","FC Barcelona, Valencia, „Johan Cruyff","barcelona, confirmat, oficial, primul, acasă, echipei, acest, sezon, partida, etapa","FC Barcelona a confirmat oficial că primul meci de acasă al echipei din acest sezon, partida din etapa a patra a La Liga împotriva celor de la Valencia, programată duminică, 14 septembrie, se va disputa pe stadionul „Johan Cruyff”, folosit în mod obișnuit de echipa secundă a clubului.","https://www.gsp.ro/international/campionate/barcelona-valencia-stadion-6000-de-locuri-la-liga-840453.html","0"
"gsp","2025-09-10T07:45:50.569108+00:00","Debutul lui Kurt Zouma la CFR Cluj se lasă așteptat: „Amatorism! Un fel de vacanță”","Cristian Balaj, președintele, CFR Cluj, Arabia Saudită, Kurt Zouma, Superligă, Gruia","cristian, balaj, președintele, susține, sezonul, arabia, saudită, orobah, dăunat, zouma","Cristian Balaj, președintele lui CFR Cluj, susține că sezonul în Arabia Saudită, la Al Orobah, i-a dăunat lui Kurt Zouma, marea lovitură a verii în Superligă. Fundașul francez nu este la un nivel optim din punct de vedere fizic, astfel că debutul lui în Gruia se lasă așteptat.","https://www.gsp.ro/fotbal/liga-1/kurt-zouma-cfr-cluj-debut-balaj-840452.html","0"
"gsp","2025-09-10T07:46:27.570163+00:00","Jurnalistul cipriot Andreas Odysseos, previziuni alarmante pentru „tricolori”: „Selecționerul Mantzios are un plan, a crescut implicarea ofensivă a jucătorilor” + Pericol dinspre mijlocașul de la UTA: „Noua vedetă!”","Andreas Odysseos, jurnaliști sportivi, Cipru, România, Nicosia, elevii, Mircea Lucescu","andreas, odysseos, dintre, apreciați, jurnaliști, sportivi, cipru, înaintea, disputei, românia","Andreas Odysseos e unul dintre cei mai apreciați jurnaliști sportivi din Cipru. Înaintea disputei cu România, el face un preview al jocului de la Nicosia și indică punctele tari și temerile insularilor pentru meciul cu elevii lui Mircea Lucescu","https://www.gsp.ro/fotbal/nationala/jurnalistul-cipriot-andreas-odysseos-cipru-romania-840413.html","0"
"gsp","2025-09-10T07:45:34.411771+00:00","Carlos Alcaraz și-a respectat promisiunea! Noul „look” al liderului mondial: „Suntem nebuni”","Alcaraz, coafura, Murcia","câștigarea, ediției, acest, carlos, alcaraz, decis, schimbe, coafura, întoarcerea, murcia","După câștigarea ediției din acest an a US Open, Carlos Alcaraz (22 de ani, 1 ATP) a decis să își schimbe din nou coafura și, la întoarcerea în Murcia, s-a vopsit blond, imaginile începând să se distribuie tot mai mult pe rețelele de socializare.","https://www.gsp.ro/sporturi/tenis/carlos-alcaraz-si-a-respectat-promisiunea-noul-look-al-liderului-mondial-840563.html","0"
"gsp","2025-09-10T07:45:27.215393+00:00","Reacția FIFA după ce România a remizat surprinzător în Cipru: „O seară grea”","FIFA, România, Cipru, Campionatul Mondial, Mircea Lucescu, Denis Drăguș","reacționat, românia, remizat, cipru, campania, preliminară, campionatul, mondial, tricolorii, mircea","FIFA a reacționat după ce România a remizat în Cipru, scor 2-2, în campania preliminară pentru Campionatul Mondial din 2026. „Tricolorii” lui Mircea Lucescu (80 de ani) au condus cu scorul de 2-0, grație „dublei” reușite de Denis Drăguș (26 de ani), dar ciprioții au revenit pe tabelă și au fost aproape de victorie pe final.","https://www.gsp.ro/fotbal/nationala/reactie-fifa-romania-remiza-cipru-840566.html","0"
"gsp","2025-09-10T07:45:58.397537+00:00","La Vuelta perturbată din nou de proteste pro-palestiniene îndreptate împotriva echipei Israel-Premier Tech","Turul Spaniei, echipa Israel-Premier Tech, Bilbao","etapa, turul, spaniei, scurtată, kilometri, cauza, protestelor, palestiniene, direcționate, către","Etapa a 16-a din Turul Spaniei a fost scurtată cu 8 kilometri din cauza protestelor pro-palestiniene direcționate către echipa Israel-Premier Tech,  care au avut loc pe ultima cățărare. Miercurea trecută, etapa a unsprezecea, care se termina la Bilbao, nu a avut un câștigător.","https://www.gsp.ro/sporturi/ciclism/la-vuelta-perturbata-din-nou-de-proteste-pro-palestiniene-indreptate-impotriva-echipei-israel-premier-tech-840475.html","0"
"gsp","2025-09-10T07:46:39.958901+00:00","Fotbalistul condamnat la închisoare a revenit în Turcia! Prezentat oficial","Wissam Ben Yedder, Sakaryaspor, Turciei","fostul, internațional, francez, wissam, yedder, curând, condamnat, închisoare, suspendare, semnat","Fostul internațional francez Wissam Ben Yedder, de curând condamnat la închisoare cu suspendare, a semnat cu Sakaryaspor, echipă din a doua ligă a Turciei.","https://www.gsp.ro/international/campionate/wissam-ben-yedder-sakaryaspor-turcia-840369.html","0"
"gsp","2025-09-10T07:46:41.015065+00:00","Boateng, pe urmele lui Homawoo? » Dinamo a blocat oferta pe final de mercato","Kennedy Boateng, Dinamo","kennedy, boateng, putea, plecare, liber, contract, dinamo, ultimele, detalii","Kennedy Boateng ar putea plecare liber de contract de la Dinamo. Ultimele detalii","https://www.gsp.ro/fotbal/liga-1/boateng-pe-urmele-lui-homawoo-dinamo-a-blocat-oferta-840345.html","0"
