"site","timestamp","title","entities","keywords","summary","url","comments"
"prosport","2025-09-10T07:48:44.888875+00:00","Alex Mitriță, mesaj clar pentru Mircea Lucescu: „Îi respect decizia, dar vreau să joc!”","România, Cipru, Mircea Lucescu","românia, terminat, egalitate, duelul, deplasare, cipru, tricolorii, mircea, lucescu, condus","România a terminat la egalitate duelul din deplasare cu Cipru, scor 2-2, după ce tricolorii lui Mircea Lucescu au condus cu 2-0.","https://www.prosport.ro/fotbal-intern/nationala/alex-mitrita-mesaj-clar-pentru-mircea-lucescu-ii-respect-decizia-dar-vreau-sa-joc-20268927","0"
"prosport","2025-09-10T07:48:40.208460+00:00","România la barajul CM 2026: lista completă a adversarilor și condițiile necesare pentru a fi cap de serie. Diferențe șocante între scenarii, fie jucăm cu San Marino la București, fie cu Italia în deplasare!","România, barajul CM 2026","adversari, așteaptă, românia, barajul, condiții, trebuie, îndeplinească, serie","Ce adversari o așteaptă pe România la barajul CM 2026 și ce condiții trebuie să îndeplinească pentru a fi cap de serie","https://www.prosport.ro/fotbal-intern/nationala/romania-la-barajul-cm-2026-lista-completa-a-adversarilor-si-conditiile-necesare-pentru-a-fi-cap-de-serie-diferente-socante-intre-scenarii-fie-jucam-cu-san-marino-la-bucuresti-fie-cu-italia-in-depl-20268934","0"
"prosport","2025-09-10T07:48:55.437566+00:00","Hotelul unde era cazat Florinel Coman, zguduit de două bombe care au explodat în apropiere!","Florinel Coman, Doha","florinel, coman, trecut, clipe, groază, hotelul, cazat, fotbalistul, român, zguduit","Florinel Coman a trecut prin clipe de groază. Hotelul din Doha, în care era cazat fotbalistul român, a fost zguduit puternic de două bombe care au explodat în apropiere.","https://www.prosport.ro/fotbal-extern/stranieri/hotelul-unde-era-cazat-florinel-coman-zguduit-de-doua-bombe-care-au-explodat-in-apropiere-20268523","0"
"prosport","2025-09-10T07:48:53.802174+00:00","Milionarul a salvat viața fetiței unui jurnalist. A trimis o geantă plină cu cash pentru ca micuța să fie operată de urgență","cunscoți milionari","cunoscut, jurnalist, trecut, clipe, groază, cauză, boală, neurologică, cronică, salvarea","Un cunoscut jurnalist a trecut prin clipe de groază din cauză că fata lui avea o boală neurologică cronică. Salvarea a venit de la unul dintre cei mai cunscoți milionari din lume.","https://www.prosport.ro/diverse/milionarul-a-salvat-viata-fetitei-unui-jurnalist-a-trimis-o-geanta-plina-cu-cash-pentru-ca-micuta-sa-fie-operata-de-urgenta-20268525","0"
"prosport","2025-09-10T07:48:54.679304+00:00","Anunț despre decizia finală legată de Vlad Chiricheș: „E cea mai respectată persoană”","fanii FCSB, Vlad Chiricheș","venit, vestea, așteptată, fanii, privește, chiricheș","A venit și vestea mult așteptată de fanii FCSB în ceea ce-l privește pe Vlad Chiricheș.","https://www.prosport.ro/fotbal-intern/superliga/anunt-despre-decizia-finala-legata-de-vlad-chiriches-e-cea-mai-respectata-persoana-20268510","0"
"prosport","2025-09-10T07:48:38.660584+00:00","Mesaj dur împotriva lui Mircea Lucescu: „Este un antrenor expirat și trebuie să înțeleagă singur că vremea lui a trecut”. EXCLUSIV","Marian Iancu, ProSport, Mircea Lucescu, României","marian, iancu, prosport, mircea, lucescu, trebuie, retragă, singur, echipa, națională","Marian Iancu a spus pentru ProSport că Mircea Lucescu, 80 de ani, trebuie să se retragă singur de la echipa națională a României.","https://www.prosport.ro/fotbal-intern/nationala/mesaj-dur-impotriva-lui-mircea-lucescu-este-un-antrenor-expirat-si-trebuie-sa-intelaga-singur-ca-vremea-lui-a-trecut-exclusiv-20269031","0"
"prosport","2025-09-10T07:48:40.947308+00:00","Aici suntem, nu putem mai mult! Mircea Lucescu, depășit în Cipru – România 2-2, o remiză cât o înfrângere. Cronică de Daniel Nazare","Drăguș, România, Răzvan Burleanu, Mircea Lucescu","prima, repriză, excelentă, făcută, noștri, dublă, drăguș, suficientă, românia, cruce","O prima repriză excelentă făcută de ai noștri, cu o dublă a lui Drăguș, nu a fost suficientă. România pune „cruce” Mondialului 2026 și Răzvan Burleanu pregătește strategia cu un an alt selecționer, în niciun caz Mircea Lucescu","https://www.prosport.ro/fotbal-intern/nationala/aici-suntem-nu-putem-mai-mult-mircea-lucescu-depasit-in-cipru-romania-2-2-o-remiza-cat-o-infrangere-cronica-de-daniel-nazare-20268646","0"
"prosport","2025-09-10T07:48:51.192052+00:00","Dacă nu îi laudă nimeni, se laudă singuri. Ce a scris oficialul Rapidului pe LinkedIn","oficial, Rapidului","oficial, rapidului, lăudat, contul, rețelele, sociale, noile, achiziții, făcute","Un oficial al Rapidului s-a lăudat pe contul rețelele sociale cu noile achiziții făcute în această vară.","https://www.prosport.ro/fotbal-intern/superliga/daca-nu-ii-lauda-nimeni-se-lauda-singuri-ce-a-scris-oficialul-rapidului-pe-linkedin-20268613","0"
"prosport","2025-09-10T07:48:41.814156+00:00","Austriecii nu se mai tem deloc de naționala lui Mircea Lucescu, după 2-2 cu Cipru","Austria, României, Lucescu, Cipru, Bosnia","austria, încrezătoare, succesul, româniei, remiza, tricolorilor, lucescu, cipru, clasamentul, grupei","Austria este încrezătoare în succesul ei în fața României, după remiza „tricolorilor” lui Lucescu cu Cipru. În clasamentul grupei H, Austria este la egalitate de puncte cu Bosnia.","https://www.prosport.ro/campionatul-mondial-2026/austriecii-nu-se-mai-tem-deloc-de-nationala-lui-mircea-lucescu-dupa-2-2-cu-cipru-20269029","0"
"prosport","2025-09-10T07:48:42.548196+00:00","Presa din Ungaria, verdict crunt după egalul rușinos făcut de România în Cipru: „E clar!”","România, Cipru, Ungaria","românia, terminat, egalitate, cipru, preliminariile, presa, ungaria, verdict, crunt, remiza","România a terminat la egalitate cu Cipru, în preliminariile CM 2026, iar presa din Ungaria a dat un verdict crunt după remiza rușinoasă.","https://www.prosport.ro/campionatul-mondial-2026/presa-din-ungaria-verdict-crunt-dupa-egalul-rusinos-facut-de-romania-in-cipru-e-clar-20269022","0"
