"site","timestamp","title","entities","keywords","summary","url","comments"
"digisport","2025-09-30T13:08:00+00:00","Vladimir Screciu nu mai acceptă niciun pas greșit și i-a pus gând rău lui Dinamo: ”Victoria e obligatorie”","Vladimir Screciu, Oțelul Galați","conferință de presă, puncte, campionat, eșec, deplasare","Vladimir Screciu a declarat, joi, 25 septembrie, într-o conferinţă de presă, că formaţia sa nu îşi mai permite să piardă puncte în campionat, după eşecul din etapa trecută, când a pierdut cu 1-0 în deplasare la Oţelul Galaţi.","https://www.digisport.ro/fotbal/liga-1/vladimir-screciu-nu-mai-accepta-niciun-pas-gresit-si-i-a-pus-gand-rau-lui-dinamo-victoria-e-obligatorie-3827127","0"
"digisport","2025-09-30T13:41:00+00:00","Dorit de Cristi Chivu la Inter, i-a spus ”nu” românului! Dezastru la debut: OUT cel puțin 9 luni!","Giovanni Leoni, Cristi Chivu, Inter Milano, Parma, Liverpool, Premier League","fundaș central, italian, dorit, fostul stoper, antrenor român, tânărul jucător, milioane, semnat","Giovanni Leoni, fundaș central italian de 18 ani, a fost dorit pe parcursul verii de Cristi Chivu la Inter Milano. În cele din urmă, fostul stoper de la Parma, unde a jucat sub comanda antrenorului român, a ales calea Premier League. Liverpool a plătit 35 de milioane în schimbul tânărului jucător, care a semnat un […]","https://www.digisport.ro/fotbal/dorit-de-cristi-chivu-la-inter-i-a-spus-nu-romanului-dezastru-la-debut-out-cel-putin-9-luni-3826187","0"
"digisport","2025-09-30T13:42:00+00:00","Cum a reacționat Răzvan Raț după ce Alexandru Mitriță s-a retras de la naționala României","Alexandru Mitriță, naționala României, Israel, Cosmin Contra, Răzvan Raț","retras, meciuri, goluri, debut, amical, mandatul","Luni, 22 septembrie, Alexandru Mitriță (30 de ani) s-a retras de la naționala României. Alexandru Mitriță a strâns 25 de meciuri la naționala României, timp în care a marcat 4 goluri. Fotbalistul și-a făcut debutul la prima reprezentativă pe 24 martie 2018, într-un amical câștigat cu Israel, 2-1, în mandatul lui Cosmin Contra.  Răzvan Raț (113 meciuri la […]","https://www.digisport.ro/fotbal/echipa-nationala/cum-a-reactionat-razvan-rat-dupa-ce-alexandru-mitrita-s-a-retras-de-la-nationala-romaniei-3827065","0"
"digisport","2025-09-30T13:38:00+00:00","Florentin Pera și-a dat demisia, cu doar două luni înainte de Campionatul Mondial!","Florentin Pera, națională de handbal feminin, CM de handbal, Germania, Olanda, Franța","selecționer, părăsească, funcția, condus, partide de pregătire, amicale","Florentin Pera a decis să părăsească funcția de selecționer a naționalei de handbal feminin, asta în condițiile în care CM de handbal din Germania și Olanda ia startul pe 26 noiembrie. El a condus naționala în această lună în două partide de pregătire cu Franța, iar până în CM mai sunt programate alte două amicale, […]","https://www.digisport.ro/handbal/florentin-pera-si-a-dat-demisia-cu-doar-doua-luni-inainte-de-campionatul-mondial-3827267","0"
"digisport","2025-09-30T13:24:00+00:00","Al doilea cel mai mic stadion din Europa League! Aici va debuta FCSB în noul sezon","FCSB, Europa League, Go Ahead Eagles","debuta, faza principală, deplasare, 25 septembrie","FCSB va debuta azi, 25 septembrie, în faza principală a Europa League, în deplasare cu Go Ahead Eagles.","https://www.digisport.ro/fotbal/europa-league/al-doilea-cel-mai-mic-stadion-din-europa-league-aici-va-debuta-fcsb-in-noul-sezon-3826909","0"
"digisport","2025-09-30T13:25:00+00:00","A pus stop! Final de 2025: ”Nu sunt la nivelul mental sau emoțional necesar pentru asta”","Elina Svitolina, WTA, Beijing, Instagram","decizie, turneul, sezon, mesaj, motivat","Elina Svitolina (31 de ani, locul 12 WTA) a decis, chiar înainte de turneul WTA 1000 de la Beijing (24 septembrie – 5 octombrie), că nu va mai juca în acest sezon. Printr-un mesaj postat pe contul personal de Instagram și-a motivat decizia, dezvăluind că nu se află în cel mai bun moment din punct […]","https://www.digisport.ro/tenis/a-pus-stop-final-de-2025-nu-sunt-la-nivelul-mental-sau-emotional-necesar-pentru-asta-3826999","0"
"digisport","2025-09-30T13:36:00+00:00","Ronaldo a spus-o fără să stea pe gânduri: ""Nu mai avem un alt fotbalist ca el!""","Ronaldo Nazario, Neymar, naționala Braziliei, Cupa Mondială","legendarul, dublu campion mondial, pledat, revenire, 2026","Legendarul Ronaldo Nazario, dublu campion mondial, a pledat pentru o revenire a lui Neymar la naţionala Braziliei în vederea Cupei Mondiale din 2026.","https://www.digisport.ro/fotbal/ronaldo-a-spus-o-fara-sa-stea-pe-ganduri-nu-mai-avem-un-alt-fotbalist-ca-el-3826841","0"
"digisport","2025-09-30T13:03:00+00:00","Ionuț Lupescu a găsit problema naționalei României și a spus exact ce i-a transmis lui Mircea Lucescu","România, EURO 2024","naționala, fotbal, moment, impresionat, vara","Naționala de fotbal a României nu traversează cel mai bun moment, după ce în vara anului trecut a impresionat la EURO 2024.","https://www.digisport.ro/fotbal/echipa-nationala/ionut-lupescu-a-gasit-problema-nationalei-romaniei-si-a-spus-exact-ce-i-a-transmis-lui-mircea-lucescu-3826963","0"
"digisport","2025-09-30T13:56:00+00:00","Mirel Rădoi ""taie în carne vie"" la Universitatea Craiova: ""Poate să se ducă acasă! Nici nu va fi în lot""","Universitatea Craiova, Dinamo, Digi Sport 1, SuperLiga, Oțelul, Mirel Rădoi","meci, lider, eșec, campionat, sezon","Universitatea Craiova se pregătește de meciul cu Dinamo, programat vineri, 26 septembrie, de la ora 21:00, în direct pe Digi Sport 1. Universitatea Craiova este lider în SuperLiga, însă oltenii vin după primul eșec al sezonului în campionat, scor 0-1 cu Oțelul. Mirel Rădoi: “Să-și petreacă timpul cu familia și nu avea niciun fel de […]","https://www.digisport.ro/fotbal/liga-1/mirel-radoi-taie-in-carne-vie-la-universitatea-craiova-poate-sa-se-duca-acasa-nici-nu-va-fi-in-lot-3827107","0"
"digisport","2025-09-30T13:02:00+00:00","”Nebunie” înainte de Go Ahead Eagles - FCSB: Suporterii voiau un stadion de 3 ori mai mare","FCSB, Go Ahead Eagles, Europa League, Digi Sport 1","întâlni, prima rundă, faza ligii, direct, ora 19:45","FCSB o va întâlni pe azi, 25 septembrie, pe Go Ahead Eagles, de la ora 19:45, în prima rundă din faza ligii Europa League, în direct la Digi Sport 1.","https://www.digisport.ro/fotbal/europa-league/nebunie-inainte-de-go-ahead-eagles-fcsb-suporterii-voiau-un-stadion-de-3-ori-mai-mare-3827257","0"
