"site","timestamp","title","entities","keywords","summary","url","comments"
"fanatik","2025-09-25T13:16:08.510222+00:00","CSA Steaua, pușculița fără fund a MApN. Cum justifică șefii militari ai clubului milioanele de euro primite de la stat în plină austeritate","CSA Steaua, FANATIK, MApN, Steaua","austeritate, fotbal, cheltuieli, reducă, șefii clubului","De la austeritate la fotbal: cazul CSA Steaua. FANATIK a întrebat MApN dacă are în plan să reducă cheltuielile pentru fotbal. Ne-au răspuns chiar șefii clubului Steaua","https://www.fanatik.ro/csa-steaua-pusculita-fara-fund-a-mapn-cum-justifica-sefii-militari-ai-clubului-milioanele-de-euro-primite-de-la-stat-in-plina-austeritate-21281801","0"
"fanatik","2025-09-25T13:16:02.160513+00:00","Dezvăluiri despre ultimele zile din viața tatălui lui Coman. „Dani a fost la el dimineața, era bine, iar seara a făcut un AVC”. Președintele trebuia să meargă la Arsenal – City!","Pitești, Dani Coman, FC Argeș, Arsenal, Manchester City","primar, dezvăluiri, deces, părinte, amânat, mers","Primarul de la Pitești a făcut dezvăluiri incredibile despre ultimele zile din viața tatălui lui Dani Coman. Decesul părintelui oficialului de la FC Argeș a amânat mersul la Arsenal - Manchester City.","https://www.fanatik.ro/dezvaluiri-despre-ultimele-zile-din-viata-tatalui-lui-coman-dani-a-fost-la-el-dimineata-era-bine-iar-seara-a-facut-un-avc-presedintele-trebuia-sa-mearga-la-arsenal-city-21279853","0"
"fanatik","2025-09-25T13:16:23.305038+00:00","FRF, decizie radicală! Cât l-a suspendat pe oficialul care și-a ieșit din minți la meciul din SuperLiga","SuperLiga, FRF","oficial, scandal, meci, etapa, suspendare","Un oficial al unei echipe din SuperLiga a făcut un scandal uriaș la un meci din etapa a 9-a, iar FRF a dictat o suspendare pe măsură.","https://www.fanatik.ro/frf-decizie-radicala-cat-l-a-suspendat-pe-oficialul-care-si-a-iesit-din-minti-la-meciul-din-superliga-21281749","0"
"fanatik","2025-09-25T13:17:02.474041+00:00","(P) FCSB joacă pentru onoare în Europa! Super Cote pentru GA Eagles – FCSB","Go Ahead Eagles, Europa League","fotbal european, debut, poveste, aventura, teren propriu","În fotbalul european, fiecare debut scrie o poveste. Joi, Go Ahead Eagles își începe aventura în  Europa League, pe teren propriu, contra celor de la","https://www.fanatik.ro/p-fcsb-joaca-pentru-onoare-in-europa-super-cote-pentru-ga-eagles-fcsb-21282280","0"
"fanatik","2025-09-25T13:15:00.927553+00:00","Câți bani plătește un student pentru o garsonieră sau apartament. Cât sunt, de fapt, chiriile în marile centre universitare","România, studenții","garsonieră, apartament, două camere, centre universitare, costă, variante","Află cât costă o garsonieră sau un apartament de două camere în marile centre universitare din România. Ce variante au studenții","https://www.fanatik.ro/cati-bani-plateste-un-student-pentru-o-garsoniera-sau-apartament-cat-sunt-de-fapt-chiriile-in-marile-centre-universitare-21281479","0"
"fanatik","2025-09-25T13:19:33.623760+00:00","ul lui CFR Cluj „a aruncat prosopul” după doar 10 etape: „Ei vor fi campioni”","CFR Cluj","campionat, pretenții, titlu, play-off, pericol","Deși a început campionatul cu pretenții la titlu, CFR Cluj se teme în acest moment pentru prezența în play-off: „Suntem în mare pericol”","https://www.fanatik.ro/oficialul-lui-cfr-cluj-a-aruncat-prosopul-dupa-doar-10-etape-ei-vor-fi-campioni-21282069","0"
"fanatik","2025-09-25T13:15:28.675607+00:00","Ce se întâmplă cu Horațiu Potra după ce a fost prins în Dubai. Noi detalii despre extrădarea șefului mercenarilor: ”Orice negociere e posibilă”","Horațiu Potra","incertitudine, extrădare, șeful mercenarilor, tentativă, lovitură de stat, țară","Incertitudine totală privind extrădarea lui Horațiu Potra, șeful mercenarilor acuzat de tentativă de lovitură de stat! De ce e greu de prezis când va ajunge în țară?","https://www.fanatik.ro/ce-se-intampla-cu-horatiu-potra-dupa-ce-a-fost-prins-in-dubai-noi-detalii-despere-extradarea-sefului-mercenarilor-21282187","0"
"fanatik","2025-09-25T13:17:22.980084+00:00","Politicianul care e demisionat din AUR și l-a acuzat pe George Simion că a transformat partidul într-o „panaramă” a fost executat silit. Cum s-a ajuns în această situație","Sergiu Mihalcea, George Simion","demisionat, partit, dosar, executare silită, implicat","Sergiu Mihalcea, care a demisionat recent din partidul condus de George Simion, a fost implicat într-un dosar de executare silită.","https://www.fanatik.ro/politicanul-care-e-demisionat-din-aur-si-l-a-acuzat-pe-george-simion-ca-a-transformat-partidul-intr-o-panarama-a-fost-executat-silit-cum-s-a-ajuns-in-aceasta-situatie-21281419","0"
"fanatik","2025-09-25T13:19:13.411413+00:00","Pană majoră la plățile cu cardul în România. Banca Transilvania și 24pay blocate ore întregi. Kaufland, DM și alte magazine afectate","BT, Kaufland, DM, România, 24pay","pană generalizată, plăți cu cardul, clienți, magazine, serviciul blocat","Pană generalizată la plățile cu cardul pe 24 septembrie 2025: clienții BT nu au putut plăti în Kaufland, DM și alte magazine din România. Serviciul 24pay blocat complet.","https://www.fanatik.ro/pana-majora-la-platile-cu-cardul-in-romania-banca-transilvania-si-24pay-blocate-ore-intregi-kaufland-dm-si-alte-magazine-afectate-21281632","0"
"fanatik","2025-09-25T13:15:39.291739+00:00","Marea problemă a lui Zeljko Kopic înainte de Universitatea Craiova – Dinamo: „N-am avut timp”. Absențe importante pentru „câini”","Dinamo, Universitatea Craiova, Zeljko Kopic","pregătește, meci, vineri seară, deplasare, probleme, antrenorul","Dinamo se pregătește de meciul de vineri seară din deplasare cu Universitatea Craiova. Ce probleme a întâmpinat antrenorul Zeljko Kopic.","https://www.fanatik.ro/problemele-lui-zeljko-kopic-inainte-de-universitatea-craiova-dinamo-nu-ne-putem-baza-pe-el-n-am-avut-prea-mult-timp-sa-pregatim-acest-meci-21282383","0"
"fanatik","2025-09-25T13:16:42.406701+00:00","Dumitru Dragomir, mesaj public pentru Alex Dobre! Verdict categoric în scandalul cu suporterii Rapidului: ”Interzis pe stadion”","Rapid, Alex Dobre, Dumitru Dragomir, Profețiile lui DON Mitică","butoi cu pulbere, scandal, suporteri, măsură, explicat","Rapid stă pe un butoi cu pulbere după scandalul dintre suporteri și Alex Dobre, iar Dumitru Dragomir a explicat la ”Profețiile lui DON Mitică” ce măsură trebuie luată.","https://www.fanatik.ro/dumitru-dragomir-mesaj-public-pentru-alex-dobre-verdict-transant-in-scandalul-cu-suporterii-rapidului-interzis-pe-stadion-21281491","0"
"fanatik","2025-09-25T13:19:28.732885+00:00","A plecat gratis de la Rapid, iar acum e golgheter și impresionează la noua echipă","Florent Hasani, Rapid","fostul jucător, evoluții, noua echipă, golgheter, campionat, etape","Fostul jucător de la Rapid, Florent Hasani, are evoluții foarte bune la noua echipă și este golgheterul campionatului după primele 7 etape","https://www.fanatik.ro/a-plecat-gratis-de-la-rapid-iar-acum-e-golgheter-si-impresioneaza-la-noua-echipa-21281700","0"
"fanatik","2025-09-25T13:17:29.201953+00:00","Cum au ajuns soțiile și fiicele baronilor PSD și PNL să încaseze sute de mii de lei lunar. Așa se fac angajările la stat pentru familii întregi","familii politice, bugetul de stat, politicieni de rang","caracatița, mușcă, sute de mii, lei, buzunare, rude apropiate","Caracatița familiilor politice mușcă din bugetul de stat. Sute de mii de lei merg în fiecare lună în buzunarele unor rude apropiate ale politicienilor de rang","https://www.fanatik.ro/cum-au-ajuns-sotiile-si-fiicele-baronilor-psd-pnl-sa-incaseze-sute-de-mii-de-lei-lunar-asa-se-fac-angajarile-la-stat-pentru-familii-intregi-21281543","0"
"fanatik","2025-09-25T13:19:24.702079+00:00","Debut de coșmar pentru fotbalistul adus în această vară de Liverpool! Va rata restul sezonului după ce a suferit o accidentare cumplită","Liverpool","vești proaste, fundaș, transferat, milioane euro, accidentat, debut, luni bune","Vești proaste pentru Liverpool. Fundașul transferat pentru peste 30 de milioane de euro va rata luni bune după ce s-a accidentat la debut.","https://www.fanatik.ro/debut-de-cosmar-pentru-fotbalistul-adus-in-aceasta-vara-de-liverpool-va-rata-restul-sezonului-dupa-ce-a-suferit-o-accidentare-cumplita-21281825","0"
"fanatik","2025-09-25T13:15:48.953067+00:00","România a pierdut la miezul nopții un loc în clasamentul coeficienților UEFA. Cum pot FCSB și U Craiova să urce SuperLiga în top 20 din Europa","FCSB, Universitatea Craiova, SuperLiga, UEFA","lupta, sezon european, ascensiune, clasament, coeficienți, optimistă","FCSB și Universitatea Craiova vor lupta în acest sezon european pentru o ascensiune a SuperLigii în clasamentul coeficienților UEFA. Locul 20 ar fi varianta cea mai optimistă.","https://www.fanatik.ro/romania-a-pierdut-la-miezul-noptii-un-loc-in-clasamentul-coeficientilor-uefa-cum-pot-fcsb-si-u-craiova-sa-urce-superliga-in-top-20-din-europa-21282110","0"
"fanatik","2025-09-25T13:17:11.076541+00:00","Vodafone: Incluziunea digitală, cheia pentru a aborda decalajul digital european de 1,3 trilioane de euro","Vodafone, Europa","raport, conexiune, comunități, diviziune digitală, vulnerabilitate strategică","Vodafone a realizat raportul „Conexiune între comunități”, care arată că diviziunea digitală reprezintă o vulnerabilitate strategică majoră pentru Europa.","https://www.fanatik.ro/vodafone-incluziunea-digitala-cheia-pentru-a-aborda-decalajul-digital-european-de-13-trilioane-de-euro-21281714","0"
"fanatik","2025-09-25T13:16:13.288109+00:00","Nebunie în Bănie! Câte pachete pentru Conference League a vândut Universitatea Craiova. Exclusiv","Mihai Rotaru, FANATIK SUPERLIGA, Universitatea Craiova, Conference League","dezvăluit, direct, pachete, vândut, meciuri de acasă","Mihai Rotaru a dezvăluit, în direct la FANATIK SUPERLIGA, câte pachete a vândut Universitatea Craiova pentru cele trei meciuri de acasă din Conference League.","https://www.fanatik.ro/nebunie-in-banie-cate-pachete-pentru-conference-league-a-vandut-universitatea-craiova-exclusiv-21280301","0"
"fanatik","2025-09-25T13:15:57.347726+00:00","Biletul zilei la pariuri, joi, 25 septembrie 2025. Câștig de 276 de lei cu fotbal","La Liga, Europa League","biletul zilei, pariuri, câștig, meciuri, fotbal","Biletul zilei la pariuri de joi, 25 septembrie 2025, poate aduce un câștig de 276 de lei cu ajutorul a două meciuri de fotbal din La Liga și Europa League.","https://www.fanatik.ro/biletul-zilei-la-pariuri-joi-25-septembrie-2025-castig-de-276-de-lei-cu-fotbal-21281417","0"
"fanatik","2025-09-25T13:16:57.764345+00:00","Asta o așteaptă pe FCSB în Olanda, la debutul în Europa League! Raportul Wyscout spune totul despre Go Ahead Eagles","FANATIK, Wyscout, Go Ahead Eagles, FCSB, Olanda","analizat, raport, meciuri, sezon, jucători, teamă","FANATIK a analizat raportul Wyscout al celor 7 meciuri disputate de Go Ahead Eagles în acest sezon. Cine sunt jucătorii de care FCSB trebuie să se teamă în Olanda.","https://www.fanatik.ro/asta-o-asteapta-pe-fcsb-in-olanda-la-debutul-in-europa-league-raportul-wyscout-spune-totul-despre-go-ahead-eagles-21281441","0"
"fanatik","2025-09-25T13:16:48.648749+00:00","Campionatele Mondiale de Canotaj 2025. Magdalena Rusu și Simona Radiș, medalie de aur la dublu rame feminin după o cursă fabuloasă. Argint la dublu rame masculin","România, Campionatele Mondiale de Canotaj, Shanghai","sportivi, echipaje, concurs, septembrie, 2025","România participă la Campionatele Mondiale de Canotaj din Shanghai cu 39 de sportivi, împărţiţi în 13 echipaje. Concursul are loc între 21 şi 28 septembrie 2025.","https://www.fanatik.ro/campionatele-mondiale-de-canotaj-2025-marian-enache-si-andrei-cornea-isi-respecta-blazonul-toate-rezultatele-flotei-romaniei-21280231","0"
"fanatik","2025-09-25T13:18:36.479401+00:00","Ibericii au aflat totul: Lamine Yamal e așteptat pe teren pentru a se răzbuna după ce a pierdut Balonul de Aur","Lamine Yamal","accidentat, jurnaliști, fotbalist iberic, revină, gazon, trupa catalană","Lamine Yamal este în continuare accidentat, însă jurnaliștii au aflat când fotbalistul iberic ar putea să revină pe gazon pentru trupa catalană","https://www.fanatik.ro/ibericii-au-aflat-totul-lamine-yamal-e-asteptat-pe-teren-pentru-a-se-razbuna-dupa-ce-a-pierdut-balonul-de-aur-21281806","0"
"fanatik","2025-09-25T13:19:18.420403+00:00","Spaniolii s-au revoltat după ce Real Madrid a prezentat un jucător de 11 ani. Detaliul care i-a șocat: „O simplă radiografie ar spune adevărul!”","Real Madrid","glume, jucător, 11 ani, revolta fanilor, baschet","Real Madrid, subiect de glume după ce a prezentat un jucător de 11 ani. Revolta fanilor din baschet când au văzut despre cine e vorba.","https://www.fanatik.ro/spaniolii-s-au-revoltat-dupa-ce-real-madrid-a-prezentat-un-jucator-de-11-ani-detaliul-care-i-a-socat-o-simpla-radiografie-ar-spune-adevarul-21281689","0"
