"entities","keywords","summary"
"Vladimir Screciu, Oțelul Galați","conferință de presă, puncte, campionat, eșec, deplasare","Vladimir Screciu a declarat, joi, 25 septembrie, într-o conferinţă de presă, că formaţia sa nu îşi mai permite să piardă puncte în campionat, după eşecul din etapa trecută, când a pierdut cu 1-0 în deplasare la Oţelul Galaţi."
"Giovanni Leoni, Cristi Chivu, Inter Milano, Parma, Liverpool, Premier League","fundaș central, italian, dorit, fostul stoper, antrenor român, tânărul jucător, milioane, semnat","Giovanni Leoni, fundaș central italian de 18 ani, a fost dorit pe parcursul verii de Cristi Chivu la Inter Milano. În cele din urmă, fostul stoper de la Parma, unde a jucat sub comanda antrenorului român, a ales calea Premier League. Liverpool a plătit 35 de milioane în schimbul tânărului jucător, care a semnat un […]"
"Alexandru Mitriță, naționala României, Israel, Cosmin Contra, Răzvan Raț","retras, meciuri, goluri, debut, amical, mandatul","Luni, 22 septembrie, Alexandru Mitriță (30 de ani) s-a retras de la naționala României. Alexandru Mitriță a strâns 25 de meciuri la naționala României, timp în care a marcat 4 goluri. Fotbalistul și-a făcut debutul la prima reprezentativă pe 24 martie 2018, într-un amical câștigat cu Israel, 2-1, în mandatul lui Cosmin Contra. Răzvan Raț (113 meciuri la […]"
"Florentin Pera, națională de handbal feminin, CM de handbal, Germania, Olanda, Franța","selecționer, părăsească, funcția, condus, partide de pregătire, amicale","Florentin Pera a decis să părăsească funcția de selecționer a naționalei de handbal feminin, asta în condițiile în care CM de handbal din Germania și Olanda ia startul pe 26 noiembrie. El a condus naționala în această lună în două partide de pregătire cu Franța, iar până în CM mai sunt programate alte două amicale, […]"
"FCSB, Europa League, Go Ahead Eagles","debuta, faza principală, deplasare, 25 septembrie","FCSB va debuta azi, 25 septembrie, în faza principală a Europa League, în deplasare cu Go Ahead Eagles."
"Elina Svitolina, WTA, Beijing, Instagram","decizie, turneul, sezon, mesaj, motivat","Elina Svitolina (31 de ani, locul 12 WTA) a decis, chiar înainte de turneul WTA 1000 de la Beijing (24 septembrie – 5 octombrie), că nu va mai juca în acest sezon. Printr-un mesaj postat pe contul personal de Instagram și-a motivat decizia, dezvăluind că nu se află în cel mai bun moment din punct […]"
"Ronaldo Nazario, Neymar, naționala Braziliei, Cupa Mondială","legendarul, dublu campion mondial, pledat, revenire, 2026","Legendarul Ronaldo Nazario, dublu campion mondial, a pledat pentru o revenire a lui Neymar la naţionala Braziliei în vederea Cupei Mondiale din 2026."
"România, EURO 2024","naționala, fotbal, moment, impresionat, vara","Naționala de fotbal a României nu traversează cel mai bun moment, după ce în vara anului trecut a impresionat la EURO 2024."
"Universitatea Craiova, Dinamo, Digi Sport 1, SuperLiga, Oțelul, Mirel Rădoi","meci, lider, eșec, campionat, sezon","Universitatea Craiova se pregătește de meciul cu Dinamo, programat vineri, 26 septembrie, de la ora 21:00, în direct pe Digi Sport 1. Universitatea Craiova este lider în SuperLiga, însă oltenii vin după primul eșec al sezonului în campionat, scor 0-1 cu Oțelul. Mirel Rădoi: “Să-și petreacă timpul cu familia și nu avea niciun fel de […]"
"FCSB, Go Ahead Eagles, Europa League, Digi Sport 1","întâlni, prima rundă, faza ligii, direct, ora 19:45","FCSB o va întâlni pe azi, 25 septembrie, pe Go Ahead Eagles, de la ora 19:45, în prima rundă din faza ligii Europa League, în direct la Digi Sport 1."
"Ion Țiriac, Jannik Sinner, Carlos Alcaraz","povestit, remarcat, italianul, spaniolul, domină, tenisul mondial","Ion Țiriac (86 de ani) a povestit cum l-a remarcat pe Jannik Sinner (24 de ani), italianul care domină tenisul mondial alături de spaniolul Carlos Alcaraz (22 de ani)."
"Michigan, Statele Unite ale Americii, Lakeshore, Kalamazoo Central","eveniment, inexplicabil, liceu, jucător, fotbal american, meci, adversar, dublă fractură, coloană vertebrală, incident","Un eveniment complet inexplicabil a avut loc la un liceu din Michigan, în Statele Unite ale Americii. Un tânăr jucător de fotbal american a sărit, în timpul unui meci dintre Lakeshore și Kalamazoo Central, peste un adversar mult mai slab din punct de vedere fizic, și i-a provocat o dublă fractură de coloană vertebrală. Incident […]"
"FCSB, Europa League, România, Go Ahead Eagles, olandezi","debutează, faza principală, campioana, terenul, titluri, rezultate notabile, cupe europene","FCSB debutează în faza principală a Europa League. Joi, 25 septembrie, campioana României joacă pe terenul olandezilor de la Go Ahead Eagles, de la ora 19:45. Olandezii nu înțeleg ce s-a întâmplat cu FCSB în acest sezon Chiar dacă vine după două titluri de campioană în România, dar și după rezultate notabile în cupele europene, FCSB nu îi […]"
"Universitatea Craiova, Dinamo, Digi Sport 1, SuperLiga României","întâlnesc, derby, etapa, direct, septembrie","Universitatea Craiova și Dinamo se întâlnesc vineri, 26 septembrie, ora 21:00, în direct pe Digi Sport 1, în derby-ul etapei cu numărul 11 din SuperLiga României."
"Universitatea Craiova, Dinamo, Digi Sport 1, SuperLiga României","întâlnesc, derby, etapa, direct, septembrie","Universitatea Craiova și Dinamo se întâlnesc vineri, 26 septembrie, ora 21:00, în direct pe Digi Sport 1, în derby-ul etapei cu numărul 11 din SuperLiga României."
"Rapid, Petrolul, Hermannstadt, Giulești","derby, etapa, pierdut, scor, pregătește","Rapid se pregătește de derby-ul cu Petrolul, din etapa a 11-a, după ce în rundă precedentă a pierdut în Giulești cu Hermannstadt, scor 1-2."
"Nicolae Stanciu, Genoa, Dan Șucu, România, Cupa Italiei","căpitan, națională, banca de rezerve, turație, patronat","Sosit în vară la Genoa, Nicolae Stanciu (32 de ani) a început ca din tun la clubul patronat de Dan Șucu (62 de ani). În cele din urmă, căpitanul naționalei României a scăzut din turație, iar la ultimele două meciuri a rămas pe banca de rezerve. Nicolae Stanciu, șanse mari să joace în Cupa Italiei Genoa urmează să evolueze contra celor […]"
"Dean Huijsen, Bournemouth, Real Madrid, David Alaba, Antonio Rudiger, Santiago Bernabeu","cumpărat, transfere, fundași centrali, milioane de euro, vara viitoare","Chiar dacă l-a cumpărat în această vară pe Dean Huijsen (20 de ani) de la Bournemouth pentru 58 de milioane de euro, Real Madrid mai plănuiește să transfere alți fundași centrali, în condițiile în care, cel mai probabil, David Alaba și Antonio Rudiger vor pleca vara viitoare de pe Santiago Bernabeu."
