"summary","entities","keywords"
"Vladimir Screciu a declarat, joi, 25 septembrie, într-o conferinţă de presă, că formaţia sa nu îşi mai permite să piardă puncte în campionat, după eşecul din etapa trecută, când a pierdut cu 1-0 în deplasare la Oţelul Galaţi.","Vladimir Screciu,Oţelul Galaţi","declarat,conferinţă de presă,formaţia,pierdut puncte,campionat,eşecul,etapa trecută,pierdut,deplasare"
"Giovanni Leoni, fundaș central italian de 18 ani, a fost dorit pe parcursul verii de Cristi Chivu la Inter Milano. În cele din urmă, fostul stoper de la Parma, unde a jucat sub comanda antrenorului român, a ales calea Premier League. Liverpool a plătit 35 de milioane în schimbul tânărului jucător, care a semnat un […]","Giovanni Leoni,Cristi Chivu,Inter Milano,Parma,Premier League,Liverpool","fundaș central,antrenor,român,tânăr jucător,semnat,schimbul,a fost dorit,a ales,a plătit"
"Luni, 22 septembrie, Alexandru Mitriță (30 de ani) s-a retras de la naționala României. Alexandru Mitriță a strâns 25 de meciuri la naționala României, timp în care a marcat 4 goluri. Fotbalistul și-a făcut debutul la prima reprezentativă pe 24 martie 2018, într-un amical câștigat cu Israel, 2-1, în mandatul lui Cosmin Contra. Răzvan Raț (113 meciuri la […]","Alexandru Mitriță,naționala României,Israel,Cosmin Contra,Răzvan Raț","retras,meciuri,goluri,fotbalistul,debutul,reprezentativă,amical,câștigat,mandatul"
"Florentin Pera a decis să părăsească funcția de selecționer a naționalei de handbal feminin, asta în condițiile în care CM de handbal din Germania și Olanda ia startul pe 26 noiembrie. El a condus naționala în această lună în două partide de pregătire cu Franța, iar până în CM mai sunt programate alte două amicale, […]","Florentin Pera,naționalei de handbal feminin,CM de handbal,Germania,Olanda,Franța","părăsească,funcția,selecționer,partide de pregătire,amicale"
"FCSB va debuta azi, 25 septembrie, în faza principală a Europa League, în deplasare cu Go Ahead Eagles.","FCSB,Europa League,Go Ahead Eagles","debutează,faza principală,deplasare"
"Elina Svitolina (31 de ani, locul 12 WTA) a decis, chiar înainte de turneul WTA 1000 de la Beijing (24 septembrie – 5 octombrie), că nu va mai juca în acest sezon. Printr-un mesaj postat pe contul personal de Instagram și-a motivat decizia, dezvăluind că nu se află în cel mai bun moment din punct […]","Elina Svitolina,WTA 1000,Beijing,Instagram","a decis,nu va mai juca,acest sezon,mesaj postat,contul personal,motivat decizia,nu se află,cel mai bun moment"
"Legendarul Ronaldo Nazario, dublu campion mondial, a pledat pentru o revenire a lui Neymar la naţionala Braziliei în vederea Cupei Mondiale din 2026.","Ronaldo Nazario,Neymar,naţionala Braziliei,Cupa Mondiale","legendarul,dublu campion mondial,pledat,revenire"
"Naționala de fotbal a României nu traversează cel mai bun moment, după ce în vara anului trecut a impresionat la EURO 2024.","Naționala de fotbal a României,EURO 2024","traversează,moment,impresionat,vara"
"Universitatea Craiova se pregătește de meciul cu Dinamo, programat vineri, 26 septembrie, de la ora 21:00, în direct pe Digi Sport 1. Universitatea Craiova este lider în SuperLiga, însă oltenii vin după primul eșec al sezonului în campionat, scor 0-1 cu Oțelul. Mirel Rădoi: “Să-și petreacă timpul cu familia și nu avea niciun fel de […]","Universitatea Craiova,Dinamo,Digi Sport 1,SuperLiga,Oțelul,Mirel Rădoi","meciul,lider,eșec,sezon,campionat,scor,familia"
"FCSB o va întâlni pe azi, 25 septembrie, pe Go Ahead Eagles, de la ora 19:45, în prima rundă din faza ligii Europa League, în direct la Digi Sport 1.","FCSB,Go Ahead Eagles,Europa League,Digi Sport 1","întâlni,prima rundă,faza,în direct"
"Ion Țiriac (86 de ani) a povestit cum l-a remarcat pe Jannik Sinner (24 de ani), italianul care domină tenisul mondial alături de spaniolul Carlos Alcaraz (22 de ani).","Ion Țiriac,Jannik Sinner,Carlos Alcaraz,Italianul,Spaniolul,Tenisul Mondial","remarcat,domină"
"Un eveniment complet inexplicabil a avut loc la un liceu din Michigan, în Statele Unite ale Americii. Un tânăr jucător de fotbal american a sărit, în timpul unui meci dintre Lakeshore și Kalamazoo Central, peste un adversar mult mai slab din punct de vedere fizic, și i-a provocat o dublă fractură de coloană vertebrală. Incident […]","Michigan,Statele Unite ale Americii,Lakeshore,Kalamazoo Central","eveniment complet inexplicabil,liceu,tânăr jucător de fotbal american,sărit,meci,adversar,slab din punct de vedere fizic,dublă fractură de coloană vertebrală,incident"
"FCSB debutează în faza principală a Europa League. Joi, 25 septembrie, campioana României joacă pe terenul olandezilor de la Go Ahead Eagles, de la ora 19:45. Olandezii nu înțeleg ce s-a întâmplat cu FCSB în acest sezon Chiar dacă vine după două titluri de campioană în România, dar și după rezultate notabile în cupele europene, FCSB nu îi […]","FCSB,Europa League,România,Go Ahead Eagles","debutează,faza principală,campioana,terenul olandezilor,titluri de campioană,rezultate notabile,cupele europene"
"Universitatea Craiova și Dinamo se întâlnesc vineri, 26 septembrie, ora 21:00, în direct pe Digi Sport 1, în derby-ul etapei cu numărul 11 din SuperLiga României.","Universitatea Craiova,Dinamo,Digi Sport 1,SuperLiga României","întâlnesc,direct,derby,etapa,numărul 11"
"Universitatea Craiova și Dinamo se întâlnesc vineri, 26 septembrie, ora 21:00, în direct pe Digi Sport 1, în derby-ul etapei cu numărul 11 din SuperLiga României.","Universitatea Craiova,Dinamo,Digi Sport 1,SuperLiga României","întâlnesc,direct,derby-ul,etapei,numărul 11"
"Rapid se pregătește de derby-ul cu Petrolul, din etapa a 11-a, după ce în rundă precedentă a pierdut în Giulești cu Hermannstadt, scor 1-2.","Rapid,Petrolul,etapa a 11-a,rundă precedentă,Giulești,Hermannstadt","derby,pierdut,scor"
"Sosit în vară la Genoa, Nicolae Stanciu (32 de ani) a început ca din tun la clubul patronat de Dan Șucu (62 de ani). În cele din urmă, căpitanul naționalei României a scăzut din turație, iar la ultimele două meciuri a rămas pe banca de rezerve. Nicolae Stanciu, șanse mari să joace în Cupa Italiei Genoa urmează să evolueze contra celor […]","Genoa,Nicolae Stanciu,Dan Șucu,naționalei României,Cupa Italiei","sosit,vară,început,tun,club,patronat,căpitanul,scăzut,turație,ultimele,meciuri,banca de rezerve,șanse mari,joace,evolueze,contra"
"Chiar dacă l-a cumpărat în această vară pe Dean Huijsen (20 de ani) de la Bournemouth pentru 58 de milioane de euro, Real Madrid mai plănuiește să transfere alți fundași centrali, în condițiile în care, cel mai probabil, David Alaba și Antonio Rudiger vor pleca vara viitoare de pe Santiago Bernabeu.","Dean Huijsen,Bournemouth,Real Madrid,David Alaba,Antonio Rudiger,Santiago Bernabeu","cumpărat,vară,transfere,fundași centrali,pleca"
"Universitatea Craiova va debuta în faza ligii din Conference League pe 2 octombrie cu Rakow, dar primul meci pe teren propriu va fi cel cu Noah, pe 23 octombrie.","Universitatea Craiova,Conference League,Rakow,Noah","debutează,faza ligii,meci,teren propriu"
"Mirel Rădoi (44 de ani) s-a confruntat cu probleme de sănătate în finalul meciului Universitatea Craiova – Farul, scor 2-0, din etapa a noua în SuperLigă, disputat pe 14 septembrie.","Mirel Rădoi,Universitatea Craiova,Farul,SuperLigă","probleme de sănătate,finalul meciului,scor,etapa a noua,disputat"
"Ajuns la 29 de ani, George Pușcaș este liber de contract în momentul de față. După despărțirea de Bodrumspor, George Pușcaș își caută echipă. Edi Iordănescu s-a interesat de serviciile sale, însă mutarea a picat în cele din urmă. Legia l-a dorit pe Pușcaș: “Nu a fost interesat“ În căutarea formei din trecut, George Pușcaș își analizează […]","George Pușcaș,Bodrumspor,Edi Iordănescu,Legia","liber de contract,despărțire,caută echipă,interesat de serviciile,mutarea a picat,dorit,în căutarea formei din trecut,analizează"
"Unul dintre cei mai puternici contestatari ai Rapidului, Marian Iancu a ținut să intervină după poziția luată de Victor Angelescu în cazul lui Alexandru Dobre. Concret, Alexandru Dobre s-a aflat în mijlocul evenimentelor în ultimele zile, după ce s-a contrat cu un fan din galeria Rapidului după eșecul cu Hermannstadt. Marian Iancu și-a scos pălăria […]","Rapidului,Marian Iancu,Victor Angelescu,Alexandru Dobre,Hermannstadt","contestatari,intervină,poziția,evenimentelor,contrat,fan,galeria,eșecul,pălăria"
"Luni, 22 septembrie, Alexandru Mitriță (30 de ani) și-a anunțat retragerea de la echipa națională a României.","Alexandru Mitriță,echipa națională a României","retragerea"
"Achraf Hakimi (26 de ani) a fost acuzat de viol de o tânără pe nume Amelie, de aceeași vârstă cu starul PSG-ului. Evenimentul s-ar fi petrecut în casa fotbalistului marocan din Paris, pe 25 februarie 2023, însă jucătorul a negat toate acuzațiile. Procuratura a cerut ca fotbalistul campioanei Europei să fie judecat, iar dacă va […]","Achraf Hakimi,Amelie,PSG,Paris,Procuratura,Europa","viol,acuzat,fotbalist,marocan,acuzații,judecat,campioanei"
"Joi, 25 septembrie, campioana României joacă pe terenul olandezilor de la Go Ahead Eagles, de la ora 19:45.","România,Go Ahead Eagles,terenul olandezilor","joacă,campioana,teren"
"Meciul de futsal România – Ungaria a fost întrerupt, după ce ultrașii olteni s-au luat la bătaie cu jandarmii.","România,Ungaria,ultrașii olteni,jandarmii","meciul,futsal,întrerupt,luat la bătaie"
"Jaqueline Cristian a fost învinsă de Jessica Boyzas Maneiro, scor 4-6, 0-6, în primul tur de la Beijing. Tot joi dimineață, Gabriela Ruse s-a calificat în turul doi.","Jaqueline Cristian,Jessica Boyzas Maneiro,Beijing,Gabriela Ruse,turul doi","învinsă,scor,primul tur,calificat"
"Numit în această vară la Inter, Cristi Chivu (44 de ani) trebuie să facă față unei provocări uriașe. Din momentul venirii la Inter, Cristi Chivu a înregistrat 5 victorii, o remiză și 3 eșecuri. Parcursul de până acum l-a făcut pe antrenorul român să aibă o nouă strategie, iar italienii scriu că a revenit la […]","Inter,Cristi Chivu","victorii,remiză,eșecuri,antrenor,strategie,italienii"
"Julian Alvarez (25 de ani) și-a demonstrat încă o dată valoarea în victoria cu Rayo Vallecano, scor 3-2, și a arătat de ce Atletico Madrid a plătit 75 de milioane de euro pentru a-l cumpăra de la Manchester City în vara anului 2024.","Julian Alvarez,Rayo Vallecano,Atletico Madrid,Manchester City","victorie,scor 3-2,cumpăra,75 de milioane de euro"
"Simona Halep (33 de ani) s-a retras oficial din tenis în luna februarie a anului 2025.","Simona Halep,tenis","retras,oficial"
"De la austeritate la fotbal: cazul CSA Steaua. FANATIK a întrebat MApN dacă are în plan să reducă cheltuielile pentru fotbal. Ne-au răspuns chiar șefii clubului Steaua","CSA Steaua,FANATIK,MApN,Steaua","austeritate,fotbal,caz,cheltuieli,club,șefii"
"Primarul de la Pitești a făcut dezvăluiri incredibile despre ultimele zile din viața tatălui lui Dani Coman. Decesul părintelui oficialului de la FC Argeș a amânat mersul la Arsenal - Manchester City.","Primarul de la Pitești,Dani Coman,FC Argeș,Arsenal,Manchester City","deces,amânat,mersul,dezvăluiri,incredibile,viața,tatălui,oficialului"
"Un oficial al unei echipe din SuperLiga a făcut un scandal uriaș la un meci din etapa a 9-a, iar FRF a dictat o suspendare pe măsură.","SuperLiga,FRF","oficial,echipa,scandal,meci,etapa a 9-a,suspendare"
"În fotbalul european, fiecare debut scrie o poveste. Joi, Go Ahead Eagles își începe aventura în Europa League, pe teren propriu, contra celor de la","fotbalul european,Go Ahead Eagles,Europa League","debut,poveste,aventura,teren propriu,contra"
"Află cât costă o garsonieră sau un apartament de două camere în marile centre universitare din România. Ce variante au studenții","România","cost,garsonieră,apartament,două camere,centre universitare,studenți,variante"
"Deși a început campionatul cu pretenții la titlu, CFR Cluj se teme în acest moment pentru prezența în play-off: „Suntem în mare pericol”","CFR Cluj","campionat,pretenții la titlu,play-off,pericol"
"Incertitudine totală privind extrădarea lui Horațiu Potra, șeful mercenarilor acuzat de tentativă de lovitură de stat! De ce e greu de prezis când va ajunge în țară?","Horațiu Potra","extrădare,șeful mercenarilor,acuzat,tentativă de lovitură de stat,țară"
"Sergiu Mihalcea, care a demisionat recent din partidul condus de George Simion, a fost implicat într-un dosar de executare silită.","Sergiu Mihalcea,George Simion,partidul","demisionat,implicat,dosar,executare silită"
"Pană generalizată la plățile cu cardul pe 24 septembrie 2025: clienții BT nu au putut plăti în Kaufland, DM și alte magazine din România. Serviciul 24pay blocat complet.","BT,Kaufland,DM,România,Serviciul 24pay","pană generalizată,plățile cu cardul,clienți,nu au putut plăti,magazine,blocat complet"
"Dinamo se pregătește de meciul de vineri seară din deplasare cu Universitatea Craiova. Ce probleme a întâmpinat antrenorul Zeljko Kopic.","Dinamo,Universitatea Craiova,Zeljko Kopic","meci,deplasare,antrenor,probleme,pregătește,întâmpinat"
"Rapid stă pe un butoi cu pulbere după scandalul dintre suporteri și Alex Dobre, iar Dumitru Dragomir a explicat la ”Profețiile lui DON Mitică” ce măsură trebuie luată.","Rapid,Alex Dobre,Dumitru Dragomir,Profețiile lui DON Mitică","scandal,suporteri,măsură,butpoi cu pulbere"
"Fostul jucător de la Rapid, Florent Hasani, are evoluții foarte bune la noua echipă și este golgheterul campionatului după primele 7 etape","Rapid,Florent Hasani,noua echipă,golgheterul campionatului","fostul jucător,evoluții foarte bune,primele 7 etape"
"Caracatița familiilor politice mușcă din bugetul de stat. Sute de mii de lei merg în fiecare lună în buzunarele unor rude apropiate ale politicienilor de rang","Caracatița familiilor politice,bugetul de stat","mii de lei,lună,buzunarele,rude apropiate,politicieni,rang"
"Vești proaste pentru Liverpool. Fundașul transferat pentru peste 30 de milioane de euro va rata luni bune după ce s-a accidentat la debut.","Liverpool","vești proaste,fundașul transferat,30 de milioane de euro,accidentat,debut"
"FCSB și Universitatea Craiova vor lupta în acest sezon european pentru o ascensiune a SuperLigii în clasamentul coeficienților UEFA. Locul 20 ar fi varianta cea mai optimistă.","FCSB,Universitatea Craiova,SuperLigii,UEFA,Locul 20","lupta,sezon european,ascensiune,clasamentul coeficienților,varianta cea mai optimistă"
"Vodafone a realizat raportul „Conexiune între comunități”, care arată că diviziunea digitală reprezintă o vulnerabilitate strategică majoră pentru Europa.","Vodafone,Europa,Conexiune între comunități","raport,diviziune digitală,vulnerabilitate strategică"
"Mihai Rotaru a dezvăluit, în direct la FANATIK SUPERLIGA, câte pachete a vândut Universitatea Craiova pentru cele trei meciuri de acasă din Conference League.","Mihai Rotaru,FANATIK SUPERLIGA,Universitatea Craiova,Conference League","dezvăluit,în direct,pachete,vândut,meciuri de acasă"
